Date,"Pandas (software)"
2015-07-01,126
2015-07-02,119
2015-07-03,103
2015-07-04,52
2015-07-05,71
2015-07-06,112
2015-07-07,128
2015-07-08,126
2015-07-09,126
2015-07-10,131
2015-07-11,58
2015-07-12,75
2015-07-13,121
2015-07-14,130
2015-07-15,117
2015-07-16,130
2015-07-17,136
2015-07-18,77
2015-07-19,85
2015-07-20,151
2015-07-21,173
2015-07-22,153
2015-07-23,162
2015-07-24,129
2015-07-25,76
2015-07-26,92
2015-07-27,145
2015-07-28,141
2015-07-29,154
2015-07-30,141
2015-07-31,129
2015-08-01,95
2015-08-02,71
2015-08-03,137
2015-08-04,151
2015-08-05,144
2015-08-06,152
2015-08-07,137
2015-08-08,83
2015-08-09,68
2015-08-10,99
2015-08-11,120
2015-08-12,132
2015-08-13,124
2015-08-14,130
2015-08-15,65
2015-08-16,62
2015-08-17,125
2015-08-18,159
2015-08-19,134
2015-08-20,122
2015-08-21,118
2015-08-22,73
2015-08-23,88
2015-08-24,117
2015-08-25,150
2015-08-26,164
2015-08-27,137
2015-08-28,125
2015-08-29,75
2015-08-30,76
2015-08-31,127
2015-09-01,144
2015-09-02,146
2015-09-03,112
2015-09-04,129
2015-09-05,56
2015-09-06,62
2015-09-07,97
2015-09-08,151
2015-09-09,151
2015-09-10,157
2015-09-11,143
2015-09-12,65
2015-09-13,74
2015-09-14,190
2015-09-15,170
2015-09-16,175
2015-09-17,157
2015-09-18,169
2015-09-19,92
2015-09-20,106
2015-09-21,180
2015-09-22,157
2015-09-23,179
2015-09-24,137
2015-09-25,121
2015-09-26,74
2015-09-27,91
2015-09-28,149
2015-09-29,145
2015-09-30,163
2015-10-01,137
2015-10-02,112
2015-10-03,91
2015-10-04,87
2015-10-05,163
2015-10-06,174
2015-10-07,160
2015-10-08,170
2015-10-09,141
2015-10-10,106
2015-10-11,86
2015-10-12,173
2015-10-13,153
2015-10-14,185
2015-10-15,146
2015-10-16,125
2015-10-17,91
2015-10-18,106
2015-10-19,129
2015-10-20,170
2015-10-21,164
2015-10-22,153
2015-10-23,146
2015-10-24,91
2015-10-25,103
2015-10-26,171
2015-10-27,168
2015-10-28,186
2015-10-29,163
2015-10-30,134
2015-10-31,96
2015-11-01,79
2015-11-02,165
2015-11-03,157
2015-11-04,187
2015-11-05,159
2015-11-06,156
2015-11-07,90
2015-11-08,91
2015-11-09,148
2015-11-10,168
2015-11-11,158
2015-11-12,156
2015-11-13,173
2015-11-14,98
2015-11-15,99
2015-11-16,171
2015-11-17,171
2015-11-18,169
2015-11-19,165
2015-11-20,189
2015-11-21,80
2015-11-22,110
2015-11-23,181
2015-11-24,172
2015-11-25,149
2015-11-26,123
2015-11-27,124
2015-11-28,94
2015-11-29,111
2015-11-30,156
2015-12-01,152
2015-12-02,170
2015-12-03,174
2015-12-04,143
2015-12-05,88
2015-12-06,101
2015-12-07,160
2015-12-08,164
2015-12-09,172
2015-12-10,139
2015-12-11,143
2015-12-12,109
2015-12-13,125
2015-12-14,201
2015-12-15,171
2015-12-16,196
2015-12-17,166
2015-12-18,143
2015-12-19,99
2015-12-20,90
2015-12-21,115
2015-12-22,171
2015-12-23,134
2015-12-24,80
2015-12-25,73
2015-12-26,75
2015-12-27,90
2015-12-28,132
2015-12-29,148
2015-12-30,121
2015-12-31,99
2016-01-01,80
2016-01-02,101
2016-01-03,93
2016-01-04,166
2016-01-05,176
2016-01-06,158
2016-01-07,187
2016-01-08,174
2016-01-09,104
2016-01-10,129
2016-01-11,158
2016-01-12,207
2016-01-13,202
2016-01-14,187
2016-01-15,157
2016-01-16,96
2016-01-17,114
2016-01-18,192
2016-01-19,186
2016-01-20,217
2016-01-21,216
2016-01-22,197
2016-01-23,131
2016-01-24,134
2016-01-25,312
2016-01-26,215
2016-01-27,220
2016-01-28,205
2016-01-29,187
